"","cbsa","id2","treatment","rent00","hinc00","pnhwht12","pnhblk12","phisp12","ppov12","punemp12","hinc12","hincb12","hincw12","phs12","pcol12","pown12","mhmval12","Treated","Control"
"22071001723","35380",22071001723,0,292,39049,3.940000057,92.34999847,0,24.89999962,18.59000015,31907,33407,29219,54.31999969,12.89000034,76.34999847,140700,0,1
"22071001724","35380",22071001724,1,787,35000,6.829999924,85.98000336,2.140000105,34.06000137,19.65999985,26760,25917,28438,42.70000076,18.88999939,47.29999924,176200,1,0
"22071001725","35380",22071001725,0,1228,35322,1.940000057,94.79000092,3.019999981,37.61999893,14.14000034,26194,25800,108194,53.00999832,17.86000061,37.16999817,162000,0,1
"22071001730","35380",22071001730,0,443,40227,5.730000019,94.26999664,0,38.93000031,12.84000015,30875,30167,90729,41.75999832,17.79999924,82.34999847,161400,0,1
"22071001734","35380",22071001734,0,77,37328,83.44000244,0,4.570000172,6.150000095,5.340000153,58929,49940.7174925069,74205,39.77000046,26.25,100,253500,0,1
"22071001735","35380",22071001735,0,1477,29429,4.329999924,95.66999817,0,43.95999908,18,27000,29250,2499,54.40999985,17.85000038,50.88000107,99000,0,1
"22071001736","35380",22071001736,0,1249,20144,2.559999943,92.43000031,4.320000172,42.81000137,16.52000046,30729,30979,60451.1686363636,36.84999847,26.07999992,24.54000092,166800,0,1
"22071001737","35380",22071001737,0,877,31888,6.789999962,92.87000275,0,27.06999969,8.600000381,28157,28030,26964,45.43999863,14.02000046,35.66999817,152100,0,1
"22071001739","35380",22071001739,0,769,25955,0,100,0,33.68000031,10.23999977,38697,38697,60451.1686363636,48.97999954,24.63999939,55.06999969,188200,0,1
"22071001740","35380",22071001740,0,968,38760,1.559999943,89.33000183,1.590000033,23.15999985,11.13000011,34619,33877,60451.1686363636,34.09999847,20.17000008,51.81000137,165800,0,1
"22071001741","35380",22071001741,0,21,43258,2.75,67.34999847,0,30.77000046,13.72000027,40637,40756,13833,52.13999939,10.68000031,87.70999908,118700,0,1
"22071001743","35380",22071001743,0,762.3236084,31803.00167,1.799999952,96.79000092,0,27.5,2.569999933,25291,25207,60451.1686363636,48.27000046,13.23999977,30.47999954,267000,0,1
"22071001744","35380",22071001744,0,1279.676392,31802.9996,1.779999971,96.29000092,1.330000043,50.27000046,11.13000011,23456,23407,60451.1686363636,44.24000168,14.98999977,24.88999939,166100,0,1
"22071001745","35380",22071001745,0,368.1897476,37120.00055,5.349999905,89.12000275,3.880000114,26.12999916,14.43000031,38304,40625,55057,43.54000092,14.06000042,59.24000168,149600,0,1
"22071001746","35380",22071001746,0,617.8102829,37119.999,1.840000033,97.41999817,0.449999988,26.75,7.800000191,34616,34247,54412,49.83000183,9.890000343,65.54000092,142200,0,1
"22071001747","35380",22071001747,0,138.5650482,47195.99954,2.130000114,76.51000214,0.949999988,8.279999733,11.47000027,71607,69760,9042,32.18000031,35.38999939,98.66000366,279200,0,1
"22071001748","35380",22071001748,0,185.4349518,47195.99925,6.369999886,80.02999878,4.5,28.14999962,11.81999969,40833,43482,30000,52.27000046,10.53999996,81.79000092,138500,0,1
"22071001749","35380",22071001749,0,471.6635437,21471.00017,0.07,38.36999893,13.10999966,35.09000015,11.82999992,30833,26731,60451.1686363636,67.43000031,11.35999966,65.01999664,121900,0,1
"22071001750","35380",22071001750,0,1082.336426,21471.0007,2.099999905,15.09000015,15.67000008,49.34000015,13.97000027,20093,16000,2499,71.20999908,10.97000027,50.09000015,118700,0,1
"22071001751","35380",22071001751,1,447,14583,9.380000114,72.12000275,18.22999954,47.11000061,8.279999733,19821,17097,26667,55.86999893,3.24000001,6.420000076,110000,1,0
"22071001800","35380",22071001800,1,549,26661,83.97000122,3.75999999,11.35000038,12.89000034,1.789999962,54125,21500,51622,27.38999939,47.36999893,36.38999939,302900,1,0
"22071001900","35380",22071001900,1,651,14281,17.43000031,70.48999786,11.61999989,43.52999878,17.85000038,23459,13250,31319,63.06000137,12.90999985,35.86000061,141700,1,0
"22071002000","35380",22071002000,0,493,15250,4.989999771,91.19000244,1.789999962,59.97999954,15.55000019,10265,9685,63036,72.84999847,4.699999809,35.68000031,110000,0,1
"22071002100","35380",22071002100,0,334,21250,5.570000172,92.16999817,0,42.43000031,23.13999939,15250,15250,60451.1686363636,60.65000153,20.79999924,38.45999908,114600,0,1
"22071002200","35380",22071002200,0,411,20682,2.99000001,97.01000214,0,25.05999947,15.23999977,28293,28415,2499,67.69000244,9.56000042,40,129200,0,1
"22071002300","35380",22071002300,0,619,27139,2.99000001,96.62999725,0.389999986,26.37000084,17.15999985,23813,23875,12115,59.86999893,10.72000027,62.25999832,143900,0,1
"22071002401","35380",22071002401,0,237,31932,6.090000153,88.20999908,2.119999886,17.5,9.670000076,45146,46960,39167,46.47000122,23.11000061,70.30999756,142400,0,1
"22071002402","35380",22071002402,0,618,27526,7.199999809,90.65000153,0.610000014,24.22999954,9.930000305,41375,42404,40338,47.11000061,11.98999977,55.61999893,159700,0,1
"22071002501","35380",22071002501,0,306,37782,14.81999969,75.01999664,7.869999886,9.399999619,15.09000015,39342,34196,50288,41.93999863,24.04999924,60.88999939,209400,0,1
"22071002502","35380",22071002502,0,325,30464,5.949999809,93.77999878,0.270000011,33.75,14.67000008,29896,31283,25417,46.88999939,17.56999969,58.90000153,129000,0,1
"22071002503","35380",22071002503,0,183,37411,24.20000076,73,2.190000057,15.52999973,9.579999924,54079,54013,55441,30.53000069,44.84999847,67.97000122,174700,0,1
"22071002504","35380",22071002504,0,294,40179,17.63999939,76.01999664,2.690000057,14.56999969,10.30000019,45506,44464,46089,41.70999908,25.85000038,58.99000168,173400,0,1
"22071002600","35380",22071002600,1,767,21981,66.62000275,6.880000114,19.70000076,21.13999939,9.050000191,44964,10625,52976,34.15000153,41.41999817,36.93000031,303200,1,0
"22071002700","35380",22071002700,0,631,16102,11.64999962,79.23999786,7.869999886,48.79000092,27.42000008,20705,18944,44615,48.65999985,16.30999947,23.81999969,97200,0,1
"22071002800","35380",22071002800,0,593.0314941,13834.99974,0.569999993,98.58000183,0,33.04999924,17.89999962,26382,26447,60451.1686363636,61,17.89999962,26.95000076,132100,0,1
